TF	 Summit ID	Chromosome	Summit start	Summit end	TSS start	TSS strand	GeneID	Distance to TSS from summit center	Motif coincidence
PIF1	215	Chr1	6296629	6296630	6297364	+	AT1G18290	734	PBE
PIF1	216	Chr1	6308649	6308650	6308012	-	AT1G18330	636	PBE
PIF1	218	Chr1	6331239	6331240	6331398	+	AT1G18400	158	G
PIF1	219	Chr1	6352357	6352358	6352470	+	AT1G18460	112	G
PIF1	220	Chr1	6409511	6409512	6409978	+	AT1G18620	466	PBE
PIF1	222	Chr1	6446288	6446289	6450594	+	AT1G18710	4305	G&PBE
PIF1	223	Chr1	6446615	6446616	6450594	+	AT1G18710	3978	G
PIF1	227	Chr1	6463607	6463608	6463922	+	AT1G18740	314	G&PBE
PIF1	229	Chr1	6528564	6528565	6525961	-	AT1G18890	2602	G
PIF1	229	Chr1	6528564	6528565	6528984	+	AT1G18900	419	G
PIF1	230	Chr1	6543648	6543649	6543852	+	AT1G18940	203	G
PIF1	231	Chr1	6601819	6601820	6602126	+	AT1G19110	306	G
PIF1	232	Chr1	6621067	6621068	6622094	+	AT1G19180	1026	PBE
PIF1	233	Chr1	6627830	6627831	6627529	-	AT1G19210	300	G
PIF1	234	Chr1	6633677	6633678	6633086	-	AT1G19220	590	PBE
PIF1	235	Chr1	6636937	6636938	6633086	-	AT1G19220	3850	PBE
PIF1	236	Chr1	6673677	6673678	6672652	-	AT1G19300	1024	PBE
PIF1	237	Chr1	6677768	6677769	6677672	-	AT1G19310	95	G&PBE
PIF1	237	Chr1	6677768	6677769	6679281	+	AT1G19320	1512	G&PBE
PIF1	240	Chr1	6737982	6737983	6734881	-	AT1G19450	3100	G
PIF1	240	Chr1	6737982	6737983	6738484	+	AT1G19460	501	G
PIF1	241	Chr1	6754258	6754259	6753998	-	AT1G19490	259	G
PIF1	242	Chr1	6763225	6763226	6763915	+	AT1G19530	689	G&PBE
PIF1	243	Chr1	6794031	6794032	6791845	-	AT1G19640	2185	G
PIF1	244	Chr1	6799816	6799817	6799763	-	AT1G19650	52	G&PBE
PIF1	245	Chr1	6802831	6802832	6802684	-	AT1G19660	146	G
PIF1	247	Chr1	6845069	6845070	6840292	-	AT1G19790	4776	G&PBE
PIF1	247	Chr1	6845069	6845070	6846369	+	AT1G19800	1299	G&PBE
PIF1	248	Chr1	6862261	6862262	6860442	-	AT1G19835	1818	G
PIF1	251	Chr1	6874073	6874074	6873254	-	AT1G19840	818	PBE
PIF1	253	Chr1	6883253	6883254	6886879	+	AT1G19850	3625	G
PIF1	255	Chr1	6932937	6932938	6932688	-	AT1G19970	248	G
PIF1	255	Chr1	6932937	6932938	6933016	+	AT1G19980	78	G
PIF1	256	Chr1	6940772	6940773	6940581	-	AT1G20010	190	PBE
PIF1	256	Chr1	6940772	6940773	6941285	+	AT1G20015	512	PBE
PIF1	259	Chr1	7040723	7040724	7040158	-	AT1G20330	564	G
PIF1	260	Chr1	7090066	7090067	7089605	-	AT1G20450	460	G
PIF1	260	Chr1	7090066	7090067	7091361	+	AT1G20460	1294	G
PIF1	261	Chr1	7090121	7090122	7089605	-	AT1G20450	515	G
PIF1	261	Chr1	7090121	7090122	7091361	+	AT1G20460	1239	G
PIF1	262	Chr1	7141527	7141528	7137780	-	AT1G20610	3746	G&PBE
PIF1	262	Chr1	7141527	7141528	7143067	+	AT1G20620	1539	G&PBE
PIF1	266	Chr1	7267515	7267516	7267322	-	AT1G20890	192	G
PIF1	267	Chr1	7270743	7270744	7267322	-	AT1G20890	3420	PBE
PIF1	267	Chr1	7270743	7270744	7272556	+	AT1G20900	1812	PBE
PIF1	270	Chr1	7366181	7366182	7363333	-	AT1G21040	2847	G
PIF1	270	Chr1	7366181	7366182	7366775	+	AT1G21050	593	G
PIF1	271	Chr1	7369289	7369290	7371666	+	AT1G21060	2376	G
PIF1	277	Chr1	7664184	7664185	7662607	-	AT1G21830	1576	G
PIF1	277	Chr1	7664184	7664185	7665664	+	AT1G21835	1479	G
PIF1	278	Chr1	7665010	7665011	7662607	-	AT1G21830	2402	PBE
PIF1	278	Chr1	7665010	7665011	7665664	+	AT1G21835	653	PBE
PIF1	279	Chr1	7694383	7694384	7692437	-	AT1G21900	1945	PBE
PIF1	279	Chr1	7694383	7694384	7696536	+	AT1G21910	2152	PBE
PIF1	282	Chr1	7782509	7782510	7781498	-	AT1G22060	1010	G
PIF1	282	Chr1	7782509	7782510	7785776	+	AT1G22065	3266	G
PIF1	283	Chr1	7834683	7834684	7830391	-	AT1G22180	4291	PBE
PIF1	283	Chr1	7834683	7834684	7835782	+	AT1G22190	1098	PBE
PIF1	286	Chr1	7897693	7897694	7897590	-	AT1G22360	102	G&PBE
PIF1	287	Chr1	7954539	7954540	7954417	-	AT1G22520	121	PBE
PIF1	289	Chr1	7991139	7991140	7989216	-	AT1G22600	1922	G
PIF1	289	Chr1	7991139	7991140	7994291	+	AT1G22610	3151	G
PIF1	290	Chr1	8005372	8005373	8006195	+	AT1G22640	822	G
PIF1	295	Chr1	8153803	8153804	8153529	-	AT1G23020	273	G
PIF1	295	Chr1	8153803	8153804	8156646	+	AT1G23030	2842	G
PIF1	298	Chr1	8173054	8173055	8172991	-	AT1G23060	62	PBE
PIF1	299	Chr1	8191996	8191997	8189063	-	AT1G23090	2932	PBE
PIF1	299	Chr1	8191996	8191997	8195776	+	AT1G23100	3779	PBE
PIF1	303	Chr1	8430179	8430180	8429497	-	AT1G23860	681	G
PIF1	303	Chr1	8430179	8430180	8432179	+	AT1G23870	1999	G
PIF1	305	Chr1	8559108	8559109	8558831	-	AT1G24170	276	G
PIF1	307	Chr1	8719462	8719463	8715308	-	AT1G24590	4153	G
PIF1	307	Chr1	8719462	8719463	8720309	+	AT1G24600	846	G
PIF1	308	Chr1	8839631	8839632	8839548	-	AT1G25220	82	G
PIF1	309	Chr1	8842399	8842400	8842316	-	AT1G25230	82	PBE
PIF1	309	Chr1	8842399	8842400	8845231	+	AT1G25240	2831	PBE
PIF1	311	Chr1	8860627	8860628	8860671	+	AT1G25275	43	G
PIF1	315	Chr1	8938274	8938275	8935459	-	AT1G25440	2814	PBE
PIF1	319	Chr1	8983778	8983779	8983040	-	AT1G25560	737	PBE
PIF1	323	Chr1	9215855	9215856	9215901	+	AT1G26670	45	G
PIF1	324	Chr1	9240953	9240954	9241435	+	AT1G26730	481	PBE
PIF1	327	Chr1	9326007	9326008	9327156	+	AT1G26916	1148	PBE
PIF1	328	Chr1	9326555	9326556	9327156	+	AT1G26916	600	PBE
PIF1	329	Chr1	9329315	9329316	9329512	+	AT1G26920	196	PBE
PIF1	332	Chr1	9393442	9393443	9393690	+	AT1G27050	247	G&PBE
PIF1	334	Chr1	9459298	9459299	9458025	-	AT1G27210	1272	G
PIF1	339	Chr1	9754012	9754013	9753951	-	AT1G27990	60	G
PIF1	340	Chr1	9825198	9825199	9825286	+	AT1G28130	87	PBE
PIF1	343	Chr1	9895265	9895266	9890992	-	AT1G28290	4272	G
PIF1	344	Chr1	9917941	9917942	9913836	-	AT1G28310	4104	PBE
PIF1	345	Chr1	9936219	9936220	9935270	-	AT1G28330	948	G
PIF1	345	Chr1	9936219	9936220	9937001	+	AT1G28335	781	G
PIF1	350	Chr1	10111726	10111727	10111659	-	AT1G28960	66	G&PBE
PIF1	350	Chr1	10111726	10111727	10113018	+	AT1G29000	1291	G&PBE
PIF1	352	Chr1	10140217	10140218	10139207	-	AT1G29050	1009	PBE
PIF1	354	Chr1	10243107	10243108	10244966	+	AT1G29290	1858	PBE
PIF1	355	Chr1	10289654	10289655	10289620	-	AT1G29395	33	G
PIF1	358	Chr1	10452097	10452098	10454482	+	AT1G29860	2384	G
PIF1	363	Chr1	10550335	10550336	10548150	-	AT1G30070	2184	PBE
PIF1	368	Chr1	10693264	10693265	10690837	-	AT1G30330	2426	G
PIF1	368	Chr1	10693264	10693265	10696999	+	AT1G30340	3734	G
PIF1	369	Chr1	10695767	10695768	10690837	-	AT1G30330	4929	PBE
PIF1	369	Chr1	10695767	10695768	10696999	+	AT1G30340	1231	PBE
PIF1	373	Chr1	10953647	10953648	10949457	-	AT1G30820	4189	G
PIF1	375	Chr1	10957719	10957720	10960941	+	AT1G30825	3221	G
PIF1	377	Chr1	10959891	10959892	10960941	+	AT1G30825	1049	PBE
PIF1	380	Chr1	11067738	11067739	11067200	-	AT1G31030	537	G&PBE
PIF1	386	Chr1	11532060	11532061	11532533	+	AT1G32060	472	G
PIF1	399	Chr1	11765761	11765762	11762606	-	AT1G32530	3154	PBE
PIF1	399	Chr1	11765761	11765762	11767504	+	AT1G32540	1742	PBE
PIF1	400	Chr1	11774344	11774345	11774186	-	AT1G32550	157	G
PIF1	400	Chr1	11774344	11774345	11774484	+	AT1G32560	139	G
PIF1	404	Chr1	11831405	11831406	11833113	+	AT1G32710	1707	PBE
PIF1	405	Chr1	11832963	11832964	11833113	+	AT1G32710	149	G&PBE
PIF1	406	Chr1	11927895	11927896	11928807	+	AT1G32920	911	PBE
PIF1	407	Chr1	11978735	11978736	11978520	-	AT1G33060	214	G
PIF1	407	Chr1	11978735	11978736	11982889	+	AT1G33070	4153	G
PIF1	409	Chr1	12054911	12054912	12054545	-	AT1G33240	365	G&PBE
PIF1	410	Chr1	12138694	12138695	12139228	+	AT1G33450	533	G
PIF1	411	Chr1	12177670	12177671	12176058	-	AT1G33580	1611	PBE
PIF1	411	Chr1	12177670	12177671	12177777	+	AT1G33590	106	PBE
PIF1	412	Chr1	12188802	12188803	12187422	-	AT1G33607	1379	PBE
PIF1	412	Chr1	12188802	12188803	12188910	+	AT1G33610	107	PBE
PIF1	416	Chr1	12547119	12547120	12550446	+	AT1G34370	3326	G
PIF1	420	Chr1	12984775	12984776	12984582	-	AT1G35350	192	PBE
PIF1	424	Chr1	14000030	14000031	13997729	-	AT1G36936	2300	G
PIF1	424	Chr1	14000030	14000031	14003866	+	AT1G36940	3835	G
PIF1	429	Chr1	16801061	16801062	16800320	-	AT1G44170	740	G
PIF1	430	Chr1	16829319	16829320	16831016	+	AT1G44318	1696	PBE
PIF1	432	Chr1	16935316	16935317	16939797	+	AT1G44835	4480	PBE
PIF1	433	Chr1	17062540	17062541	17065252	+	AT1G45130	2711	PBE
PIF1	445	Chr1	17861802	17861803	17863837	+	AT1G48330	2034	PBE
PIF1	448	Chr1	18104906	18104907	18104660	-	AT1G48930	245	G
PIF1	453	Chr1	18212036	18212037	18215872	+	AT1G49240	3835	PBE
PIF1	454	Chr1	18323402	18323403	18322283	-	AT1G49500	1118	G&PBE
PIF1	454	Chr1	18323402	18323403	18326870	+	AT1G49510	3467	G&PBE
PIF1	455	Chr1	18364723	18364724	18363191	-	AT1G49610	1531	G
PIF1	458	Chr1	18406422	18406423	18405680	-	AT1G49730	741	PBE
PIF1	458	Chr1	18406422	18406423	18407518	+	AT1G49740	1095	PBE
PIF1	459	Chr1	18432976	18432977	18430318	-	AT1G49780	2657	G
PIF1	461	Chr1	18690838	18690839	18690370	-	AT1G50450	467	G
PIF1	461	Chr1	18690838	18690839	18693684	+	AT1G50460	2845	G
PIF1	463	Chr1	18754155	18754156	18753668	-	AT1G50630	486	PBE
PIF1	465	Chr1	18859149	18859150	18860837	+	AT1G50880	1687	PBE
PIF1	466	Chr1	18942658	18942659	18941703	-	AT1G51130	954	G&PBE
PIF1	470	Chr1	19212311	19212312	19211416	-	AT1G51790	894	PBE
PIF1	470	Chr1	19212311	19212312	19214148	+	AT1G51800	1836	PBE
PIF1	473	Chr1	19303364	19303365	19299117	-	AT1G51940	4246	G
PIF1	473	Chr1	19303364	19303365	19305315	+	AT1G51950	1950	G
PIF1	479	Chr1	19536029	19536030	19535954	-	AT1G52430	74	G
PIF1	479	Chr1	19536029	19536030	19538821	+	AT1G52440	2791	G
PIF1	480	Chr1	19635174	19635175	19633439	-	AT1G52700	1734	PBE
PIF1	481	Chr1	19649472	19649473	19649260	-	AT1G52750	211	PBE
PIF1	481	Chr1	19649472	19649473	19651325	+	AT1G52760	1852	PBE
PIF1	482	Chr1	19683992	19683993	19683497	-	AT1G52855	494	G
PIF1	483	Chr1	19691970	19691971	19690541	-	AT1G52880	1428	G
PIF1	485	Chr1	19699241	19699242	19698481	-	AT1G52890	759	G
PIF1	488	Chr1	19825600	19825601	19822251	-	AT1G53170	3348	G
PIF1	489	Chr1	19831408	19831409	19831441	+	AT1G53180	32	PBE
PIF1	490	Chr1	19957921	19957922	19956631	-	AT1G53460	1289	G
PIF1	490	Chr1	19957921	19957922	19958587	+	AT1G53470	665	G
PIF1	491	Chr1	19986016	19986017	19985982	-	AT1G53560	33	G&PBE
PIF1	491	Chr1	19986016	19986017	19987191	+	AT1G53570	1174	G&PBE
PIF1	493	Chr1	20036593	20036594	20036641	+	AT1G53670	47	G
PIF1	495	Chr1	20068539	20068540	20068465	-	AT1G53750	73	G
PIF1	496	Chr1	20165623	20165624	20163747	-	AT1G54020	1875	PBE
PIF1	496	Chr1	20165623	20165624	20167629	+	AT1G54030	2005	PBE
PIF1	498	Chr1	20204311	20204312	20207020	+	AT1G54120	2708	G
PIF1	499	Chr1	20239764	20239765	20241226	+	AT1G54210	1461	G
PIF1	500	Chr1	20458658	20458659	20458630	-	AT1G54860	27	G
PIF1	500	Chr1	20458658	20458659	20459006	+	AT1G54870	347	G
PIF1	501	Chr1	20523394	20523395	20525708	+	AT1G55020	2313	G
PIF1	504	Chr1	20588032	20588033	20587628	-	AT1G55180	403	G
PIF1	504	Chr1	20588032	20588033	20588397	+	AT1G55190	364	G
PIF1	506	Chr1	20670064	20670065	20668725	-	AT1G55360	1338	G
PIF1	512	Chr1	20938319	20938320	20938289	-	AT1G55970	29	PBE
PIF1	515	Chr1	21043222	21043223	21043348	+	AT1G56220	125	G
PIF1	516	Chr1	21088641	21088642	21088548	-	AT1G56330	92	G
PIF1	517	Chr1	21092811	21092812	21092659	-	AT1G56340	151	G
PIF1	518	Chr1	21133720	21133721	21136944	+	AT1G56430	3223	G
PIF1	520	Chr1	21205408	21205409	21204741	-	AT1G56590	666	G
PIF1	520	Chr1	21205408	21205409	21207537	+	AT1G56600	2128	G
PIF1	524	Chr1	21266520	21266521	21266367	-	AT1G56720	152	PBE
PIF1	524	Chr1	21266520	21266521	21268787	+	AT1G56730	2266	PBE
PIF1	527	Chr1	21601663	21601664	21601620	-	AT1G58250	42	PBE
PIF1	527	Chr1	21601663	21601664	21605752	+	AT1G58260	4088	PBE
PIF1	530	Chr1	21705305	21705306	21704254	-	AT1G58410	1050	PBE
PIF1	530	Chr1	21705305	21705306	21707379	+	AT1G58420	2073	PBE
PIF1	533	Chr1	22096639	22096640	22096576	-	AT1G60010	62	PBE
PIF1	534	Chr1	22099994	22099995	22096576	-	AT1G60010	3417	PBE
PIF1	535	Chr1	22127686	22127687	22123701	-	AT1G60050	3984	PBE
PIF1	541	Chr1	22198202	22198203	22196684	-	AT1G60180	1517	G
PIF1	541	Chr1	22198202	22198203	22198403	+	AT1G60190	200	G
PIF1	542	Chr1	22266102	22266103	22266037	-	AT1G60430	64	G
PIF1	543	Chr1	22327372	22327373	22327358	-	AT1G60600	13	G
PIF1	544	Chr1	22628019	22628020	22628265	+	AT1G61340	245	G
PIF1	551	Chr1	22886436	22886437	22885052	-	AT1G61900	1383	G
PIF1	551	Chr1	22886436	22886437	22887090	+	AT1G61910	653	G
PIF1	552	Chr1	23015503	23015504	23013528	-	AT1G62290	1974	PBE
PIF1	557	Chr1	23102278	23102279	23101032	-	AT1G62422	1245	PBE
PIF1	558	Chr1	23105230	23105231	23104646	-	AT1G62420	583	G&PBE
PIF1	559	Chr1	23124671	23124672	23128705	+	AT1G62480	4033	PBE
PIF1	560	Chr1	23126656	23126657	23128705	+	AT1G62480	2048	G
PIF1	563	Chr1	23196746	23196747	23199718	+	AT1G62660	2971	PBE
PIF1	564	Chr1	23314871	23314872	23315294	+	AT1G62950	422	G&PBE
PIF1	565	Chr1	23369412	23369413	23368409	-	AT1G63030	1002	G
PIF1	565	Chr1	23369412	23369413	23371327	+	AT1G63040	1914	G
PIF1	566	Chr1	23395480	23395481	23392850	-	AT1G63090	2629	G
PIF1	567	Chr1	23478273	23478274	23475531	-	AT1G63295	2741	PBE
PIF1	567	Chr1	23478273	23478274	23482193	+	AT1G63300	3919	PBE
PIF1	570	Chr1	23613014	23613015	23610652	-	AT1G63670	2361	PBE
PIF1	570	Chr1	23613014	23613015	23614437	+	AT1G63680	1422	PBE
PIF1	575	Chr1	23787336	23787337	23786799	-	AT1G64080	536	G
PIF1	575	Chr1	23787336	23787337	23789062	+	AT1G64090	1725	G
PIF1	578	Chr1	23844212	23844213	23844954	+	AT1G64255	741	G
PIF1	579	Chr1	23883548	23883549	23886084	+	AT1G64355	2535	G
PIF1	582	Chr1	23899146	23899147	23900035	+	AT1G64385	888	G
PIF1	586	Chr1	23947656	23947657	23945771	-	AT1G64470	1884	G
PIF1	587	Chr1	24023274	24023275	24023195	-	AT1G64640	78	PBE
PIF1	590	Chr1	24139373	24139374	24139275	-	AT1G64980	97	G&PBE
PIF1	591	Chr1	24149090	24149091	24149543	+	AT1G65010	452	PBE
PIF1	592	Chr1	24188488	24188489	24188329	-	AT1G65110	158	G
PIF1	592	Chr1	24188488	24188489	24189464	+	AT1G65113	975	G
